Spectrum #,Spectrum ID,Neel,Sarayu,Reagen,Brenda,ra,dec,slit,i_mag,targetnum,name,side
77.0,slitA077_SDSSJ112645.72+422815.6t100869.fits,,0.1206,0.121,,171.690539,42.471015,698,17.497970581054688,10152,SDSSJ112645.72+422815.6,A
78.0,slitA078_SDSSJ112647.64+422741.8t100870.fits,,0.2753,0.275,,171.698524,42.461638,245,20.231529235839844,299,SDSSJ112647.64+422741.8,A
78.0,slitA078_SDSSJ112647.64+422741.8t100870.fits,,0.2753,0.275,,171.698524,42.461638,803,20.231529235839844,10304,SDSSJ112647.64+422741.8,A
79.0,slitA079_SDSSJ112647.64+422741.8t100871.fits,similar to before,0.2753,0.274,,171.698524,42.461638,245,20.231529235839844,299,SDSSJ112647.64+422741.8,A
79.0,slitA079_SDSSJ112647.64+422741.8t100871.fits,similar to before,0.2753,0.274,,171.698524,42.461638,803,20.231529235839844,10304,SDSSJ112647.64+422741.8,A
80.0,slitA080_SDSSJ112702.02+422433.7t100872.fits,,?,?,,171.758418,42.409386,499,21.556840896606445,966,SDSSJ112702.02+422433.7,A
80.0,slitA080_SDSSJ112702.02+422433.7t100872.fits,,?,?,,171.758418,42.409386,1057,21.556840896606445,10980,SDSSJ112702.02+422433.7,A
81.0,slitA081_SDSSJ112702.02+422433.7t100873.fits,,?,?,,171.758418,42.409386,499,21.556840896606445,966,SDSSJ112702.02+422433.7,A
81.0,slitA081_SDSSJ112702.02+422433.7t100873.fits,,?,?,,171.758418,42.409386,1057,21.556840896606445,10980,SDSSJ112702.02+422433.7,A
82.0,slitA082_SDSSJ112704.00+422355.4t100874.fits,,?,?,,171.766675,42.398738,458,24.939929962158203,921,SDSSJ112704.00+422355.4,A
82.0,slitA082_SDSSJ112704.00+422355.4t100874.fits,,?,?,,171.766675,42.398738,1016,24.939929962158203,10935,SDSSJ112704.00+422355.4,A
